id,ndex,species,forme,type1,type2,ability1,ability2,abilityH,hp,attack,defense,spattack,spdefense,speed,total,weight,height,dex1,dex2,class,percent-male,percent-female,pre-evolution,egg-group1,egg-group2
796,796,Xurkitree,Xurkitree,Electric,,'Beast Boost','Beast Boost','Beast Boost',83,89,71,173,71,83,570,220.5 lbs.,"12'06""","One of the mysterious life-forms known as Ultra Beasts. Astonishing electric shocks emanate from its entire body, according to witnesses.","It appeared from the Ultra Wormhole. It raided a power plant, so people think it energizes itself with electricity.",Glowing Pokémon,,,,Undiscovered,
797,797,Celesteela,Celesteela,Steel,Flying,'Beast Boost','Beast Boost','Beast Boost',97,101,103,107,101,61,570,2204.4 lbs.,"30'02""",It appeared from the Ultra Wormhole. Witnesses observed it flying across the sky at high speed.,One kind of Ultra Beast. Witnesses have seen it burn down a forest by expelling gas from its two arms.,Launch Pokémon,,,,Undiscovered,
798,798,Kartana,Kartana,Grass,Steel,'Beast Boost','Beast Boost','Beast Boost',59,181,131,59,31,109,570,0.2 lbs.,"1'00""","This Ultra Beast came from the Ultra Wormhole. It seems not to attack enemies on its own, but its sharp body is a dangerous weapon in itself.","One of the Ultra Beast life-forms, it was observed cutting down a gigantic steel tower with one stroke of its blade.",Drawn Sword Pokémon,,,,Undiscovered,
799,799,Guzzlord,Guzzlord,Dark,Dragon,'Beast Boost','Beast Boost','Beast Boost',223,101,53,97,53,43,570,1957.7 lbs.,"18'01""","It has gobbled mountains and swallowed whole buildings, according to reports. It's one of the Ultra Beasts.","A dangerous Ultra Beast, it appears to be eating constantly, but for some reason its droppings have never been found.",Junkivore Pokémon,,,,Undiscovered,
800,800,Necrozma,Necrozma,Psychic,,'Prism Armor','Prism Armor','Prism Armor',97,107,101,127,89,79,600,507.1 lbs.,"7'10""","Reminiscent of the Ultra Beasts, this life-form, apparently asleep underground, is thought to have come from another world in ancient times.",Light is apparently the source of its energy. It has an extraordinarily vicious disposition and is constantly firing off laser beams.,Prism Pokémon,,,,Undiscovered,
801,801,Magearna,Magearna,Steel,Fairy,'Soul-Heart','Soul-Heart','Soul-Heart',80,95,115,130,115,65,600,177.5 lbs.,"3'03""","This artificial Pokémon, constructed more than 500 years ago, can understand human speech but cannot itself speak.","Its mechanized body is merely a vessel. Its true self is its Soul-Heart, an artificial soul.",Artificial Pokémon,,,,Undiscovered,
802,802,Marshadow,Marshadow,Fighting,Ghost,'Technician','Technician','Technician',90,125,80,90,90,125,600,48.9 lbs.,"2'04""","Able to conceal itself in shadows, it never appears before humans, so its very existence was the stuff of myth.","It lurks in the shadows of others, copying their movements and powers. This Pokémon is craven and cowering.",Gloomdweller Pokémon,,,,Undiscovered,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
